 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> March 24, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Zirconium in Zirconium

 Ion = Zirconium [40] , Mass = 89.9 amu

 Target Density =  6.4900E+00 g/cm3 = 4.2845E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zr     40    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.60 MeV   1.422E+02  1.276E+02    4902 A      1701 A      1324 A   
   1.70 MeV   1.472E+02  1.241E+02    5208 A      1777 A      1395 A   
   1.80 MeV   1.519E+02  1.208E+02    5514 A      1851 A      1464 A   
   2.00 MeV   1.609E+02  1.149E+02    6126 A      1995 A      1599 A   
   2.25 MeV   1.713E+02  1.083E+02    6888 A      2164 A      1764 A   
   2.50 MeV   1.815E+02  1.026E+02    7646 A      2324 A      1923 A   
   2.75 MeV   1.915E+02  9.752E+01    8397 A      2475 A      2077 A   
   3.00 MeV   2.016E+02  9.301E+01    9140 A      2617 A      2226 A   
   3.25 MeV   2.119E+02  8.897E+01    9873 A      2750 A      2370 A   
   3.50 MeV   2.224E+02  8.531E+01    1.06 um     2875 A      2509 A   
   3.75 MeV   2.331E+02  8.199E+01    1.13 um     2992 A      2643 A   
   4.00 MeV   2.441E+02  7.896E+01    1.20 um     3102 A      2771 A   
   4.50 MeV   2.667E+02  7.362E+01    1.33 um     3304 A      3014 A   
   5.00 MeV   2.900E+02  6.904E+01    1.46 um     3481 A      3238 A   
   5.50 MeV   3.137E+02  6.508E+01    1.59 um     3637 A      3443 A   
   6.00 MeV   3.377E+02  6.161E+01    1.70 um     3775 A      3632 A   
   6.50 MeV   3.618E+02  5.854E+01    1.82 um     3897 A      3805 A   
   7.00 MeV   3.859E+02  5.580E+01    1.92 um     4006 A      3965 A   
   8.00 MeV   4.333E+02  5.111E+01    2.12 um     4196 A      4248 A   
